source,target,weight
주제곡,지구,1
곳곳,데헌,1
결합,헌터,1
결합,테일러,1
결합,케이팝,1
결합,추격,1
결합,지구,1
결합,주제곡,1
결합,전통,1
결합,우리나라,1
결합,역시,1
결합,애니메이션,1
결합,스케,1
결합,스위프트,1
결합,무속,1
결합,린지,1
결합,데헌,1
결합,데몬,1
결합,넷플릭스,1
골든,곳곳,1
골든,넷플릭스,1
골든,데몬,1
골든,주제곡,1
곳곳,데몬,1
곳곳,넷플릭스,1
골든,헌터,1
골든,테일러,1
골든,케이팝,1
골든,추격,1
골든,지구,1
골든,전통,1
골든,데헌,1
골든,우리나라,1
골든,역시,1
골든,애니메이션,1
골든,스케,1
골든,스위프트,1
골든,무속,1
골든,린지,1
데헌,애니메이션,1
데헌,역시,1
데헌,우리나라,1
데헌,전통,1
역시,우리나라,1
애니메이션,헌터,1
애니메이션,테일러,1
애니메이션,추격,1
애니메이션,지구,1
애니메이션,주제곡,1
애니메이션,전통,1
애니메이션,우리나라,1
애니메이션,역시,1
스케,테일러,1
스케,추격,1
스케,지구,1
스케,주제곡,1
스케,전통,1
스케,우리나라,1
스케,역시,1
스케,애니메이션,1
역시,전통,1
역시,주제곡,1
역시,지구,1
우리나라,테일러,1
전통,헌터,1
전통,테일러,1
전통,케이팝,1
전통,추격,1
결합,곳곳,1
전통,주제곡,1
우리나라,헌터,1
우리나라,케이팝,1
역시,추격,1
우리나라,추격,1
우리나라,지구,1
우리나라,주제곡,1
우리나라,전통,1
역시,헌터,1
역시,테일러,1
역시,케이팝,1
스위프트,헌터,1
스위프트,테일러,1
스위프트,케이팝,1
린지,역시,1
린지,테일러,1
린지,케이팝,1
린지,추격,1
린지,지구,1
린지,주제곡,1
린지,전통,1
린지,우리나라,1
린지,애니메이션,1
무속,스위프트,1
린지,스케,1
린지,스위프트,1
린지,무속,1
데헌,테일러,1
데헌,추격,1
데헌,지구,1
데헌,주제곡,1
린지,헌터,1
무속,스케,1
스위프트,추격,1
무속,헌터,1
스위프트,지구,1
스위프트,주제곡,1
스위프트,전통,1
스위프트,우리나라,1
스위프트,역시,1
스위프트,애니메이션,1
스위프트,스케,1
무속,테일러,1
무속,애니메이션,1
무속,케이팝,1
무속,추격,1
무속,지구,1
무속,주제곡,1
무속,전통,1
무속,우리나라,1
무속,역시,1
이하,케데헌는,1
